FID_,MAPBLKLOT,BLKLOT,BLOCK_NUM,LOT_NUM,address,LabelField,source,LowAddress,HighAddres,StreetName,StreetType,SHAPE_area,SHAPE_len,X,full/partial
,5572001,5572001,5572,001,1 LOOMIS ST,1,DBI,1,1,LOOMIS,ST,3851.953375,270.653947,0,full
,5588A001,5588A001,5588A,001, , ,ASSESSOR,0,0, , ,54528.88453,936.544051,0,full
,5597A001,5597A001,5597A,001,928 TOLAND ST,928,DBI,928,928,TOLAND,ST,26467.49937,673.658129,0,full
,5585001,5585001,5585,001,2225 PALOU AV,2225,DBI,2225,2225,PALOU,AVE,46521.52871,1052.649611,0,full
,5584001,5584001,5584,001,425 APPAREL WY,425,DBI,425,425,APPAREL,WAY,81650.11523,1252.166614,0,full
,5586001,5586001,5586,001,1-81 DORMAN AV,Jan-81,DBI,1,81,DORMAN,AVE,106616.0673,2076.708587,0,full
,5582001,5582001,5582,001,75 WATERLOO ST,75,DBI,75,75,WATERLOO,ST,51807.00793,992.152668,0,full
,5214001,5214001,5214,001, , ,ASSESSOR,0,0, , ,18430.38444,576.060793,0,full
,5201001,5201001,5201,001,50 QUINT ST,50,DBI,50,50,QUINT,ST,75321.25009,1242.035773,0,full
,5231001,5231001,5231,001,300 EVANS AV,300,DBI,300,300,EVANS,AVE,44600.57233,846.010811,0,full
,5228001,5228001,5228,001,1600 EVANS AV,1600,DBI,1600,1600,EVANS,AVE,71051.35192,1106.019495,0,full
,5249001,5249001,5249,001,201 TOLAND ST,201,DBI,201,201,TOLAND,ST,120875.5197,1608.759699,0,full
,5227001,5227001,5227,001,1700 EVANS AV,1700,DBI,1700,1700,EVANS,AVE,120660.5501,1597.672108,0,full
,5217001,5217001,5217,001,3600 03RD ST,3600,DBI,3600,3600,03RD,ST,59758.31103,984.065821,0,full
,5242001,5242001,5242,001,1501 NEWHALL ST,1501,DBI,1501,1501,NEWHALL,ST,15000.32546,500.011007,0,full
,5281001,5281001,5281,001,1801 JERROLD AV,1801,DBI,1801,1801,JERROLD,AVE,63709.04553,1292.50924,0,full
,5253001,5253001,5253,001,1601 GALVEZ AV,1601,DBI,1601,1601,GALVEZ,AVE,7500.013241,350.000529,0,full
,7512001,7512001,7512,001,65 AMBER DR,65,DBI,65,65,AMBER,DR,4806.653895,295.213117,0,full
,7506001,7506001,7506,001,2 TURQUOISE WY,2,DBI,2,2,TURQUOISE,WAY,5371.024603,302.867583,0,full
,2169001,2169001,2169,001,3907-3911 QUINTARA ST,3907-3911,DBI,3907,3911,QUINTARA,ST,2776.634465,235.913098,0,full
,4232001,4232001,4232,001, , ,ASSESSOR,0,0, , ,8553.874614,455.164242,0,full
,4230001,4230001,4230,001,2700 03RD ST,2700,DBI,2700,2700,03RD,ST,80703.21769,1207.147819,0,full
,4227001,4227001,4227,001,1200 INDIANA ST,1200,DBI,1200,1200,INDIANA,ST,3009.90571,260.660833,0,full
,4299001,4299001,4299,001, , ,ASSESSOR,0,0, , ,80667.10029,1206.678848,0,full
,4298001,4298001,4298,001,601 25TH ST,601,DBI,601,601,25TH,ST,80667.17189,1206.679198,0,full
,4297001,4297001,4297,001, , ,ASSESSOR,0,0, , ,80667.07652,1206.678726,0,full
,4245001,4245001,4245,001,2833 03RD ST,2833,DBI,2833,2833,03RD,ST,36810.93769,768.441726,0,full
,4246001,4246001,4246,001,2800 03RD ST,2800,DBI,2800,2800,03RD,ST,39974.15904,799.744194,0,full
,2086001,2086001,2086,001,1901 48TH AV,1901,DBI,1901,1901,48TH,AVE,2736.233163,220.932402,0,full
,4301001,4301001,4301,001, , ,ASSESSOR,0,0, , ,80667.12285,1206.678956,0,full
,4300001,4300001,4300,001, , ,ASSESSOR,0,0, , ,80667.0995,1206.678956,0,full
,4313001,4313001,4313,001, , ,ASSESSOR,0,0, , ,78932.20381,1189.329873,0,full
,4316001,4316001,4316,001,1600-1680 TENNESSEE ST,1600-1680,DBI,1600,1680,TENNESSEE,ST,55720.54938,956.692361,0,full
,4314001,4314001,4314,001, , ,ASSESSOR,0,0, , ,2916.055133,320.660503,0,full
,4356001,4356001,4356,001,1050-1060 03RD ST,1050-1060,DBI,1050,1060,03RD,ST,78393.38043,1167.481248,0,full
,4355001,4355001,4355,001,3100 03RD ST,3100,DBI,3100,3100,03RD,ST,8617.834232,447.16075,0,full
,4377001,4377001,4377,001,1055 MARIN ST,1055,DBI,1055,1055,MARIN,ST,73082.72855,1131.367188,0,full
,4379001,4379001,4379,001, , ,ASSESSOR,0,0, , ,68613.61776,1086.138272,0,full
,2002001,2002001,2002,001,4101 MORAGA ST,4101,DBI,4101,4101,MORAGA,ST,1870.326138,199.626318,0,full
,2001001,2001001,2001,001,4201 MORAGA ST,4201,DBI,4201,4201,MORAGA,ST,1849.998043,173.999881,0,full
,2084001,2084001,2084,001,1801 47TH AV,1801,DBI,1801,1801,47TH,AVE,2128.456996,198.601724,0,full
,2085001,2085001,2085,001, V, ,ASSESSOR,0,0,V, ,5979.90619,319.598319,0,full
,3609001,3609001,3609,001,2400 MISSION ST,2400,DBI,2400,2400,MISSION,ST,4426.540383,278.367559,0,full
,3632001,3632001,3632,001,1000-1008 GUERRERO ST,1000-1008,DBI,1000,1008,GUERRERO,ST,7197.652812,357.229996,0,full
,1896001,1896001,1896,001,1601 47TH AV,1601,DBI,1601,1601,47TH,AVE,1789.273906,197.713932,0,full
,1895001,1895001,1895,001,4201-4205 LAWTON ST,4201-4205,DBI,4201,4205,LAWTON,ST,2753.271571,218.664964,0,full
,4019001,4019001,4019,001,2901 MARIPOSA ST,2901,DBI,2901,2901,MARIPOSA,ST,24578.08807,645.223711,0,full
,4025001,4025001,4025,001,2535 18TH ST,2535,DBI,2535,2535,18TH,ST,5056.300818,301.127194,0,full
,4022001,4022001,4022,001,611 BRYANT ST,611,DBI,611,611,BRYANT,ST,19954.19566,599.086002,0,full
,4020001,4020001,4020,001,600 ALABAMA ST,600,DBI,600,600,ALABAMA,ST,6192.592512,347.70452,0,full
,4086001,4086001,4086,001,2200 BRYANT ST,2200,DBI,2200,2200,BRYANT,ST,2699.999268,254.000181,0,full
,4085001,4085001,4085,001,3001-3005 20TH ST,3001-3005,DBI,3001,3005,20TH,ST,2515.067858,257.446703,0,full
,4084001,4084001,4084,001,3101 20TH ST,3101,DBI,3101,3101,20TH,ST,2613.603816,259.088647,0,full
,4081001,4081001,4081,001,2100 BRYANT ST,2100,DBI,2100,2100,BRYANT,ST,1913.481528,239.078691,0,full
,4146001,4146001,4146,001,900-914 FLORIDA ST,900-914,DBI,900,914,FLORIDA,ST,6374.992788,319.999954,0,full
,4171001,4171001,4171,001,1100 TENNESSEE ST,1100,DBI,1100,1100,TENNESSEE,ST,2009.610143,240.193729,0,full
,4170001,4170001,4170,001,901 22ND ST,901,DBI,901,901,22ND,ST,1751.343235,170.959357,0,full
